order_id,city_tier,category,delivery_status,item_accuracy,resolution_outcome,complaint_channel,reorder_risk,delivery_failure
NYK100000,tier3,skincare,delayed,correct,denied,app,0,1
NYK100001,tier2,haircare,on_time,correct,not_applicable,email,0,0
NYK100002,tier3,haircare,on_time,correct,not_applicable,social,0,0
NYK100003,tier2,skincare,on_time,correct,not_applicable,app,0,0
NYK100004,metro,skincare,on_time,correct,not_applicable,app,0,0
NYK100005,tier3,makeup,on_time,correct,not_applicable,email,0,0
NYK100006,tier3,haircare,on_time,correct,not_applicable,email,0,0
NYK100007,tier3,haircare,not_delivered,damaged,unresolved,email,1,1
NYK100008,metro,haircare,on_time,correct,not_applicable,email,0,0
NYK100009,tier2,makeup,on_time,correct,not_applicable,app,0,0
NYK100010,metro,skincare,on_time,correct,not_applicable,none,0,0
NYK100011,tier3,makeup,on_time,correct,not_applicable,app,0,0
NYK100012,tier2,skincare,on_time,correct,not_applicable,email,0,0
NYK100013,tier3,haircare,on_time,correct,not_applicable,none,0,0
NYK100014,tier2,skincare,delayed,correct,refunded,none,0,1
NYK100015,metro,skincare,on_time,wrong_item,refunded,app,0,0
NYK100016,tier2,makeup,on_time,correct,not_applicable,app,0,0
NYK100017,metro,makeup,on_time,correct,not_applicable,email,0,0
NYK100018,tier3,makeup,on_time,correct,not_applicable,call,0,0
NYK100019,tier2,makeup,on_time,correct,not_applicable,email,0,0
NYK100020,tier3,wellness,on_time,correct,not_applicable,call,0,0
NYK100021,metro,haircare,on_time,wrong_item,replaced,app,0,0
NYK100022,tier3,haircare,on_time,correct,not_applicable,call,0,0
NYK100023,tier3,makeup,not_delivered,correct,replaced,email,0,1
NYK100024,tier3,makeup,on_time,correct,not_applicable,social,0,0
NYK100025,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100026,tier2,makeup,delayed,correct,denied,app,0,1
NYK100027,metro,skincare,on_time,correct,not_applicable,call,0,0
NYK100028,metro,makeup,delayed,correct,replaced,email,0,1
NYK100029,tier2,skincare,on_time,correct,not_applicable,social,0,0
NYK100030,tier2,skincare,on_time,wrong_item,denied,none,1,0
NYK100031,tier3,haircare,delayed,correct,refunded,none,0,1
NYK100032,metro,skincare,on_time,correct,not_applicable,call,0,0
NYK100033,metro,makeup,on_time,correct,not_applicable,none,0,0
NYK100034,tier2,makeup,not_delivered,correct,replaced,app,0,1
NYK100035,metro,skincare,delayed,correct,unresolved,email,0,1
NYK100036,metro,haircare,delayed,correct,replaced,call,0,1
NYK100037,tier2,skincare,on_time,correct,not_applicable,social,0,0
NYK100038,metro,haircare,on_time,correct,not_applicable,social,0,0
NYK100039,tier2,haircare,on_time,correct,not_applicable,app,0,0
NYK100040,tier2,skincare,on_time,correct,not_applicable,none,0,0
NYK100041,tier3,skincare,on_time,correct,not_applicable,none,0,0
NYK100042,tier2,skincare,on_time,correct,not_applicable,none,0,0
NYK100043,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100044,tier3,skincare,on_time,correct,not_applicable,none,0,0
NYK100045,tier3,wellness,on_time,wrong_item,replaced,social,0,0
NYK100046,metro,skincare,on_time,correct,not_applicable,email,0,0
NYK100047,metro,haircare,on_time,correct,not_applicable,call,0,0
NYK100048,tier2,skincare,delayed,correct,refunded,social,0,1
NYK100049,metro,wellness,on_time,damaged,refunded,social,0,0
NYK100050,metro,skincare,on_time,correct,not_applicable,email,0,0
NYK100051,metro,makeup,on_time,correct,not_applicable,none,0,0
NYK100052,tier3,makeup,on_time,correct,not_applicable,app,0,0
NYK100053,tier2,skincare,on_time,correct,not_applicable,email,0,0
NYK100054,tier2,haircare,delayed,correct,replaced,call,0,1
NYK100055,tier3,skincare,on_time,correct,not_applicable,call,0,0
NYK100056,tier2,makeup,on_time,correct,not_applicable,call,0,0
NYK100057,tier2,makeup,on_time,correct,not_applicable,call,0,0
NYK100058,metro,makeup,on_time,correct,not_applicable,call,0,0
NYK100059,metro,skincare,not_delivered,correct,replaced,app,0,1
NYK100060,tier2,skincare,delayed,correct,denied,app,0,1
NYK100061,tier2,skincare,on_time,damaged,denied,email,1,0
NYK100062,tier2,skincare,delayed,correct,unresolved,call,0,1
NYK100063,tier3,skincare,on_time,correct,not_applicable,app,0,0
NYK100064,tier2,wellness,on_time,correct,not_applicable,app,0,0
NYK100065,tier2,makeup,delayed,correct,unresolved,app,0,1
NYK100066,tier2,makeup,on_time,correct,not_applicable,app,0,0
NYK100067,metro,makeup,delayed,correct,refunded,none,0,1
NYK100068,metro,skincare,on_time,correct,not_applicable,email,0,0
NYK100069,tier2,makeup,on_time,correct,not_applicable,call,0,0
NYK100070,metro,skincare,on_time,correct,not_applicable,call,0,0
NYK100071,tier2,skincare,delayed,wrong_item,refunded,app,0,1
NYK100072,tier3,makeup,on_time,correct,not_applicable,email,0,0
NYK100073,metro,makeup,on_time,correct,not_applicable,none,0,0
NYK100074,metro,wellness,on_time,correct,not_applicable,app,0,0
NYK100075,metro,skincare,on_time,correct,not_applicable,app,0,0
NYK100076,metro,makeup,on_time,correct,not_applicable,email,0,0
NYK100077,tier2,skincare,on_time,correct,not_applicable,app,0,0
NYK100078,tier2,skincare,on_time,correct,not_applicable,app,0,0
NYK100079,tier3,haircare,delayed,correct,unresolved,email,0,1
NYK100080,tier2,skincare,on_time,correct,not_applicable,email,0,0
NYK100081,tier2,makeup,on_time,correct,not_applicable,app,0,0
NYK100082,tier3,makeup,on_time,correct,not_applicable,social,0,0
NYK100083,metro,skincare,delayed,correct,refunded,app,0,1
NYK100084,metro,wellness,on_time,correct,not_applicable,call,0,0
NYK100085,metro,makeup,on_time,correct,not_applicable,email,0,0
NYK100086,tier2,haircare,on_time,correct,not_applicable,email,0,0
NYK100087,tier2,makeup,delayed,correct,refunded,email,0,1
NYK100088,metro,wellness,on_time,correct,not_applicable,email,0,0
